species,source_asset,source_mesh_file,glb_mesh_name,structure_id,acronym,label,group,parent_id,hemisphere,catalog_status,notes
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.pu.k1.gii,D99_v2.pu.k1,1,pu,putamen,Basal ganglia / Striatum,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.cd.k2.gii,D99_v2.cd.k2,2,cd,caudate nucleus,Basal ganglia / Striatum,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.NA.k3.gii,D99_v2.NA.k3,3,NA,nucleus accumbens,Basal ganglia / Striatum_ventral striatum,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.GPe.k4.gii,D99_v2.GPe.k4,4,GPe,globus pallidus external segment,Basal ganglia / Pallidum,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.GPi.k5.gii,D99_v2.GPi.k5,5,GPi,globus pallidus internal segment,Basal ganglia / Pallidum,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.SNpr.k6.gii,D99_v2.SNpr.k6,6,SNpr,substantia nigra pars reticulata,Basal ganglia / Nigral region,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.SNpc.k7.gii,D99_v2.SNpc.k7,7,SNpc,substantia nigra pars compacta,Basal ganglia / Nigral region,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.SNpl.k8.gii,D99_v2.SNpl.k8,8,SNpl,substantia nigra pars lateralis,Basal ganglia / Nigral region,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.STN.k9.gii,D99_v2.STN.k9,9,STN,subthalamic nucleus,Basal ganglia / Nigral region,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.VP.k10.gii,D99_v2.VP.k10,10,VP,ventral pallidum,Basal ganglia / Pallidum,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.AV.k11.gii,D99_v2.AV.k11,11,AV,anterior ventral nucleus,Thalamus / Dorsal thalamus_anterior group,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.AM.k12.gii,D99_v2.AM.k12,12,AM,anterior medial nucleus,Thalamus / Dorsal thalamus_anterior group,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.VApc.k13.gii,D99_v2.VApc.k13,13,VApc,"ventral anterior nucleus, parvicellular division",Thalamus / Dorsal thalamus_lateral group,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.VAmc.k14.gii,D99_v2.VAmc.k14,14,VAmc,"ventral anterior nucleus, magnocellular division",Thalamus / Dorsal thalamus_lateral group,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.LD.k15.gii,D99_v2.LD.k15,15,LD,lateral dorsal nucleus,Thalamus / Dorsal thalamus_anterior group,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.MDmc.k16.gii,D99_v2.MDmc.k16,16,MDmc,"mediodorsal nucleus, magnocellular division",Thalamus / Dorsal thalamus_medial group,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.MDpc.k17.gii,D99_v2.MDpc.k17,17,MDpc,"mediodorsal nucleus, parvicellular division",Thalamus / Dorsal thalamus_medial group,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.MDmf.k18.gii,D99_v2.MDmf.k18,18,MDmf,"mediodorsal nucleus, multiform division",Thalamus / Dorsal thalamus_medial group,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.VLc.k19.gii,D99_v2.VLc.k19,19,VLc,ventral lateral caudal nucleus,Thalamus / Dorsal thalamus_lateral group,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
