species,source_asset,source_mesh_file,glb_mesh_name,structure_id,acronym,label,group,parent_id,hemisphere,catalog_status,notes
marmoset,source/NIH_labels_cortex_and_subcortical.xlsx:NIH_cortex_vL,source/NIH_Marmoset_Atlas_V1_master.zip:NIH_Marmoset_Atlas_V1-master/v1.1/NIH_cortex_vL_150um.nii.gz,1_DLPFC,1,DLPFC,Dorsolateral prefrontal cortex,NIH_cortex_vL,,,label_from_xlsx_volume,Merged NIH Marmoset Atlas v1.1 workbook row; group is parcellation block. Matching NIfTI volume available.
marmoset,source/NIH_labels_cortex_and_subcortical.xlsx:NIH_cortex_vL,source/NIH_Marmoset_Atlas_V1_master.zip:NIH_Marmoset_Atlas_V1-master/v1.1/NIH_cortex_vL_150um.nii.gz,2_VLPFC,2,VLPFC,Ventrolateral prefrontal cortex,NIH_cortex_vL,,,label_from_xlsx_volume,Merged NIH Marmoset Atlas v1.1 workbook row; group is parcellation block. Matching NIfTI volume available.
marmoset,source/NIH_labels_cortex_and_subcortical.xlsx:NIH_cortex_vL,source/NIH_Marmoset_Atlas_V1_master.zip:NIH_Marmoset_Atlas_V1-master/v1.1/NIH_cortex_vL_150um.nii.gz,3_MPFC,3,MPFC,Medial prefrontal cortex,NIH_cortex_vL,,,label_from_xlsx_volume,Merged NIH Marmoset Atlas v1.1 workbook row; group is parcellation block. Matching NIfTI volume available.
marmoset,source/NIH_labels_cortex_and_subcortical.xlsx:NIH_cortex_vL,source/NIH_Marmoset_Atlas_V1_master.zip:NIH_Marmoset_Atlas_V1-master/v1.1/NIH_cortex_vL_150um.nii.gz,4_OFC,4,OFC,Orbital frontal cortex,NIH_cortex_vL,,,label_from_xlsx_volume,Merged NIH Marmoset Atlas v1.1 workbook row; group is parcellation block. Matching NIfTI volume available.
marmoset,source/NIH_labels_cortex_and_subcortical.xlsx:NIH_cortex_vL,source/NIH_Marmoset_Atlas_V1_master.zip:NIH_Marmoset_Atlas_V1-master/v1.1/NIH_cortex_vL_150um.nii.gz,5_MOT,5,MOT,Motor and premotor cortical regions,NIH_cortex_vL,,,label_from_xlsx_volume,Merged NIH Marmoset Atlas v1.1 workbook row; group is parcellation block. Matching NIfTI volume available.
marmoset,source/NIH_labels_cortex_and_subcortical.xlsx:NIH_cortex_vL,source/NIH_Marmoset_Atlas_V1_master.zip:NIH_Marmoset_Atlas_V1-master/v1.1/NIH_cortex_vL_150um.nii.gz,6_SS,6,SS,Somatosensory cortex,NIH_cortex_vL,,,label_from_xlsx_volume,Merged NIH Marmoset Atlas v1.1 workbook row; group is parcellation block. Matching NIfTI volume available.
marmoset,source/NIH_labels_cortex_and_subcortical.xlsx:NIH_cortex_vL,source/NIH_Marmoset_Atlas_V1_master.zip:NIH_Marmoset_Atlas_V1-master/v1.1/NIH_cortex_vL_150um.nii.gz,7_AU,7,AU,Auditory cortex,NIH_cortex_vL,,,label_from_xlsx_volume,Merged NIH Marmoset Atlas v1.1 workbook row; group is parcellation block. Matching NIfTI volume available.
marmoset,source/NIH_labels_cortex_and_subcortical.xlsx:NIH_cortex_vL,source/NIH_Marmoset_Atlas_V1_master.zip:NIH_Marmoset_Atlas_V1-master/v1.1/NIH_cortex_vL_150um.nii.gz,8_LS,8,LS,Insula and others in lateral sulcus,NIH_cortex_vL,,,label_from_xlsx_volume,Merged NIH Marmoset Atlas v1.1 workbook row; group is parcellation block. Matching NIfTI volume available.
marmoset,source/NIH_labels_cortex_and_subcortical.xlsx:NIH_cortex_vL,source/NIH_Marmoset_Atlas_V1_master.zip:NIH_Marmoset_Atlas_V1-master/v1.1/NIH_cortex_vL_150um.nii.gz,9_LIT,9,LIT,Lateral and inferior temporal cortical region,NIH_cortex_vL,,,label_from_xlsx_volume,Merged NIH Marmoset Atlas v1.1 workbook row; group is parcellation block. Matching NIfTI volume available.
marmoset,source/NIH_labels_cortex_and_subcortical.xlsx:NIH_cortex_vL,source/NIH_Marmoset_Atlas_V1_master.zip:NIH_Marmoset_Atlas_V1-master/v1.1/NIH_cortex_vL_150um.nii.gz,10_VT,10,VT,Ventral areas of the temporal lobe,NIH_cortex_vL,,,label_from_xlsx_volume,Merged NIH Marmoset Atlas v1.1 workbook row; group is parcellation block. Matching NIfTI volume available.
marmoset,source/NIH_labels_cortex_and_subcortical.xlsx:NIH_cortex_vL,source/NIH_Marmoset_Atlas_V1_master.zip:NIH_Marmoset_Atlas_V1-master/v1.1/NIH_cortex_vL_150um.nii.gz,11_PPC,11,PPC,Posterior parietal cortex,NIH_cortex_vL,,,label_from_xlsx_volume,Merged NIH Marmoset Atlas v1.1 workbook row; group is parcellation block. Matching NIfTI volume available.
marmoset,source/NIH_labels_cortex_and_subcortical.xlsx:NIH_cortex_vL,source/NIH_Marmoset_Atlas_V1_master.zip:NIH_Marmoset_Atlas_V1-master/v1.1/NIH_cortex_vL_150um.nii.gz,12_PCRSC,12,PCRSC,Posterior cingulate and restrospenial regions,NIH_cortex_vL,,,label_from_xlsx_volume,Merged NIH Marmoset Atlas v1.1 workbook row; group is parcellation block. Matching NIfTI volume available.
marmoset,source/NIH_labels_cortex_and_subcortical.xlsx:NIH_cortex_vL,source/NIH_Marmoset_Atlas_V1_master.zip:NIH_Marmoset_Atlas_V1-master/v1.1/NIH_cortex_vL_150um.nii.gz,13_VC,13,VC,Visual cortex,NIH_cortex_vL,,,label_from_xlsx_volume,Merged NIH Marmoset Atlas v1.1 workbook row; group is parcellation block. Matching NIfTI volume available.
marmoset,source/NIH_labels_cortex_and_subcortical.xlsx:NIH_cortex_vM,source/NIH_Marmoset_Atlas_V1_master.zip:NIH_Marmoset_Atlas_V1-master/v1.1/NIH_cortex_vM_150um.nii.gz,1_A10,1,A10,Area 10,NIH_cortex_vM,,,label_from_xlsx_volume,Merged NIH Marmoset Atlas v1.1 workbook row; group is parcellation block. Matching NIfTI volume available.
marmoset,source/NIH_labels_cortex_and_subcortical.xlsx:NIH_cortex_vM,source/NIH_Marmoset_Atlas_V1_master.zip:NIH_Marmoset_Atlas_V1-master/v1.1/NIH_cortex_vM_150um.nii.gz,2_A9,2,A9,Area 9,NIH_cortex_vM,,,label_from_xlsx_volume,Merged NIH Marmoset Atlas v1.1 workbook row; group is parcellation block. Matching NIfTI volume available.
marmoset,source/NIH_labels_cortex_and_subcortical.xlsx:NIH_cortex_vM,source/NIH_Marmoset_Atlas_V1_master.zip:NIH_Marmoset_Atlas_V1-master/v1.1/NIH_cortex_vM_150um.nii.gz,3_A46,3,A46,Area 46,NIH_cortex_vM,,,label_from_xlsx_volume,Merged NIH Marmoset Atlas v1.1 workbook row; group is parcellation block. Matching NIfTI volume available.
marmoset,source/NIH_labels_cortex_and_subcortical.xlsx:NIH_cortex_vM,source/NIH_Marmoset_Atlas_V1_master.zip:NIH_Marmoset_Atlas_V1-master/v1.1/NIH_cortex_vM_150um.nii.gz,4_A8,4,A8,Area 8,NIH_cortex_vM,,,label_from_xlsx_volume,Merged NIH Marmoset Atlas v1.1 workbook row; group is parcellation block. Matching NIfTI volume available.
marmoset,source/NIH_labels_cortex_and_subcortical.xlsx:NIH_cortex_vM,source/NIH_Marmoset_Atlas_V1_master.zip:NIH_Marmoset_Atlas_V1-master/v1.1/NIH_cortex_vM_150um.nii.gz,5_A47,5,A47,Area 47,NIH_cortex_vM,,,label_from_xlsx_volume,Merged NIH Marmoset Atlas v1.1 workbook row; group is parcellation block. Matching NIfTI volume available.
marmoset,source/NIH_labels_cortex_and_subcortical.xlsx:NIH_cortex_vM,source/NIH_Marmoset_Atlas_V1_master.zip:NIH_Marmoset_Atlas_V1-master/v1.1/NIH_cortex_vM_150um.nii.gz,6_A45,6,A45,Area 45,NIH_cortex_vM,,,label_from_xlsx_volume,Merged NIH Marmoset Atlas v1.1 workbook row; group is parcellation block. Matching NIfTI volume available.
marmoset,source/NIH_labels_cortex_and_subcortical.xlsx:NIH_cortex_vM,source/NIH_Marmoset_Atlas_V1_master.zip:NIH_Marmoset_Atlas_V1-master/v1.1/NIH_cortex_vM_150um.nii.gz,7_ProM,7,ProM,Proisocortical motor region (precentral opercular cortex),NIH_cortex_vM,,,label_from_xlsx_volume,Merged NIH Marmoset Atlas v1.1 workbook row; group is parcellation block. Matching NIfTI volume available.
marmoset,source/NIH_labels_cortex_and_subcortical.xlsx:NIH_cortex_vM,source/NIH_Marmoset_Atlas_V1_master.zip:NIH_Marmoset_Atlas_V1-master/v1.1/NIH_cortex_vM_150um.nii.gz,8_A32,8,A32,Area 32,NIH_cortex_vM,,,label_from_xlsx_volume,Merged NIH Marmoset Atlas v1.1 workbook row; group is parcellation block. Matching NIfTI volume available.
marmoset,source/NIH_labels_cortex_and_subcortical.xlsx:NIH_cortex_vM,source/NIH_Marmoset_Atlas_V1_master.zip:NIH_Marmoset_Atlas_V1-master/v1.1/NIH_cortex_vM_150um.nii.gz,9_A14,9,A14,Area 14,NIH_cortex_vM,,,label_from_xlsx_volume,Merged NIH Marmoset Atlas v1.1 workbook row; group is parcellation block. Matching NIfTI volume available.
marmoset,source/NIH_labels_cortex_and_subcortical.xlsx:NIH_cortex_vM,source/NIH_Marmoset_Atlas_V1_master.zip:NIH_Marmoset_Atlas_V1-master/v1.1/NIH_cortex_vM_150um.nii.gz,10_A24,10,A24,Area 24,NIH_cortex_vM,,,label_from_xlsx_volume,Merged NIH Marmoset Atlas v1.1 workbook row; group is parcellation block. Matching NIfTI volume available.
marmoset,source/NIH_labels_cortex_and_subcortical.xlsx:NIH_cortex_vM,source/NIH_Marmoset_Atlas_V1_master.zip:NIH_Marmoset_Atlas_V1-master/v1.1/NIH_cortex_vM_150um.nii.gz,11_A25,11,A25,Area 25,NIH_cortex_vM,,,label_from_xlsx_volume,Merged NIH Marmoset Atlas v1.1 workbook row; group is parcellation block. Matching NIfTI volume available.
marmoset,source/NIH_labels_cortex_and_subcortical.xlsx:NIH_cortex_vM,source/NIH_Marmoset_Atlas_V1_master.zip:NIH_Marmoset_Atlas_V1-master/v1.1/NIH_cortex_vM_150um.nii.gz,12_A11,12,A11,Area 11,NIH_cortex_vM,,,label_from_xlsx_volume,Merged NIH Marmoset Atlas v1.1 workbook row; group is parcellation block. Matching NIfTI volume available.
marmoset,source/NIH_labels_cortex_and_subcortical.xlsx:NIH_cortex_vM,source/NIH_Marmoset_Atlas_V1_master.zip:NIH_Marmoset_Atlas_V1-master/v1.1/NIH_cortex_vM_150um.nii.gz,13_A13,13,A13,Area 13,NIH_cortex_vM,,,label_from_xlsx_volume,Merged NIH Marmoset Atlas v1.1 workbook row; group is parcellation block. Matching NIfTI volume available.
marmoset,source/NIH_labels_cortex_and_subcortical.xlsx:NIH_cortex_vM,source/NIH_Marmoset_Atlas_V1_master.zip:NIH_Marmoset_Atlas_V1-master/v1.1/NIH_cortex_vM_150um.nii.gz,14_Gu,14,Gu,Gustatory cortex,NIH_cortex_vM,,,label_from_xlsx_volume,Merged NIH Marmoset Atlas v1.1 workbook row; group is parcellation block. Matching NIfTI volume available.
marmoset,source/NIH_labels_cortex_and_subcortical.xlsx:NIH_cortex_vM,source/NIH_Marmoset_Atlas_V1_master.zip:NIH_Marmoset_Atlas_V1-master/v1.1/NIH_cortex_vM_150um.nii.gz,15_OP,15,OP,Orbital proisocortex and preiallocortex,NIH_cortex_vM,,,label_from_xlsx_volume,Merged NIH Marmoset Atlas v1.1 workbook row; group is parcellation block. Matching NIfTI volume available.
marmoset,source/NIH_labels_cortex_and_subcortical.xlsx:NIH_cortex_vM,source/NIH_Marmoset_Atlas_V1_master.zip:NIH_Marmoset_Atlas_V1-master/v1.1/NIH_cortex_vM_150um.nii.gz,16_A6,16,A6,Area 6 (Premotor cortex),NIH_cortex_vM,,,label_from_xlsx_volume,Merged NIH Marmoset Atlas v1.1 workbook row; group is parcellation block. Matching NIfTI volume available.
marmoset,source/NIH_labels_cortex_and_subcortical.xlsx:NIH_cortex_vM,source/NIH_Marmoset_Atlas_V1_master.zip:NIH_Marmoset_Atlas_V1-master/v1.1/NIH_cortex_vM_150um.nii.gz,17_A4,17,A4,Area 4 (Primary motor cortex),NIH_cortex_vM,,,label_from_xlsx_volume,Merged NIH Marmoset Atlas v1.1 workbook row; group is parcellation block. Matching NIfTI volume available.
