species,source_asset,source_mesh_file,glb_mesh_name,structure_id,acronym,label,group,parent_id,hemisphere,catalog_status,notes
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/1.obj,1,1,TMv,"Tuberomammillary nucleus, ventral part",Basic cell groups and regions,557,bilateral,mesh_with_ontology,"ontology_path=root > Basic cell groups and regions > Brain stem > Interbrain > Hypothalamus > Hypothalamic medial zone > Mammillary body > Tuberomammillary nucleus > Tuberomammillary nucleus, ventral part"
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/2.obj,2,2,SSp-m6b,"Primary somatosensory area, mouth, layer 6b",Basic cell groups and regions,345,bilateral,mesh_with_ontology,"ontology_path=root > Basic cell groups and regions > Cerebrum > Cerebral cortex > Cortical plate > Isocortex > Somatosensory areas > Primary somatosensory area > Primary somatosensory area, mouth > Primary somatosensory area, mouth, layer 6b"
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/4.obj,4,4,IC,Inferior colliculus,Basic cell groups and regions,339,bilateral,mesh_with_ontology,"ontology_path=root > Basic cell groups and regions > Brain stem > Midbrain > Midbrain, sensory related > Inferior colliculus"
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/6.obj,6,6,int,internal capsule,fiber tracts,784,bilateral,mesh_with_ontology,ontology_path=root > fiber tracts > lateral forebrain bundle system > corticospinal tract > internal capsule
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/7.obj,7,7,PSV,Principal sensory nucleus of the trigeminal,Basic cell groups and regions,1132,bilateral,mesh_with_ontology,"ontology_path=root > Basic cell groups and regions > Brain stem > Hindbrain > Pons > Pons, sensory related > Principal sensory nucleus of the trigeminal"
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/8.obj,8,8,grey,Basic cell groups and regions,Basic cell groups and regions,997,bilateral,mesh_with_ontology,ontology_path=root > Basic cell groups and regions
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/9.obj,9,9,SSp-tr6a,"Primary somatosensory area, trunk, layer 6a",Basic cell groups and regions,361,bilateral,mesh_with_ontology,"ontology_path=root > Basic cell groups and regions > Cerebrum > Cerebral cortex > Cortical plate > Isocortex > Somatosensory areas > Primary somatosensory area > Primary somatosensory area, trunk > Primary somatosensory area, trunk, layer 6a"
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/10.obj,10,10,SCig,"Superior colliculus, motor related, intermediate gray layer",Basic cell groups and regions,294,bilateral,mesh_with_ontology,"ontology_path=root > Basic cell groups and regions > Brain stem > Midbrain > Midbrain, motor related > Superior colliculus, motor related > Superior colliculus, motor related, intermediate gray layer"
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/12.obj,12,12,IF,Interfascicular nucleus raphe,Basic cell groups and regions,165,bilateral,mesh_with_ontology,"ontology_path=root > Basic cell groups and regions > Brain stem > Midbrain > Midbrain, behavioral state related > Midbrain raphe nuclei > Interfascicular nucleus raphe"
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/15.obj,15,15,PT,Parataenial nucleus,Basic cell groups and regions,571,bilateral,mesh_with_ontology,"ontology_path=root > Basic cell groups and regions > Brain stem > Interbrain > Thalamus > Thalamus, polymodal association cortex related > Midline group of the dorsal thalamus > Parataenial nucleus"
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/17.obj,17,17,SCiw,"Superior colliculus, motor related, intermediate white layer",Basic cell groups and regions,294,bilateral,mesh_with_ontology,"ontology_path=root > Basic cell groups and regions > Brain stem > Midbrain > Midbrain, motor related > Superior colliculus, motor related > Superior colliculus, motor related, intermediate white layer"
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/19.obj,19,19,IG,Induseum griseum,Basic cell groups and regions,1080,bilateral,mesh_with_ontology,ontology_path=root > Basic cell groups and regions > Cerebrum > Cerebral cortex > Cortical plate > Hippocampal formation > Hippocampal region > Induseum griseum
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/20.obj,20,20,ENTl2,"Entorhinal area, lateral part, layer 2",Basic cell groups and regions,918,bilateral,mesh_with_ontology,"ontology_path=root > Basic cell groups and regions > Cerebrum > Cerebral cortex > Cortical plate > Hippocampal formation > Retrohippocampal region > Entorhinal area > Entorhinal area, lateral part > Entorhinal area, lateral part, layer 2"
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/21.obj,21,21,lotg,"lateral olfactory tract, general",fiber tracts,840,bilateral,mesh_with_ontology,"ontology_path=root > fiber tracts > cranial nerves > olfactory nerve > lateral olfactory tract, general"
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/22.obj,22,22,PTLp,Posterior parietal association areas,Basic cell groups and regions,315,bilateral,mesh_with_ontology,ontology_path=root > Basic cell groups and regions > Cerebrum > Cerebral cortex > Cortical plate > Isocortex > Posterior parietal association areas
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/23.obj,23,23,AAA,Anterior amygdalar area,Basic cell groups and regions,278,bilateral,mesh_with_ontology,ontology_path=root > Basic cell groups and regions > Cerebrum > Cerebral nuclei > Striatum > Striatum-like amygdalar nuclei > Anterior amygdalar area
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/26.obj,26,26,SCdg,"Superior colliculus, motor related, deep gray layer",Basic cell groups and regions,294,bilateral,mesh_with_ontology,"ontology_path=root > Basic cell groups and regions > Brain stem > Midbrain > Midbrain, motor related > Superior colliculus, motor related > Superior colliculus, motor related, deep gray layer"
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/27.obj,27,27,IGL,Intergeniculate leaflet of the lateral geniculate complex,Basic cell groups and regions,1014,bilateral,mesh_with_ontology,"ontology_path=root > Basic cell groups and regions > Brain stem > Interbrain > Thalamus > Thalamus, polymodal association cortex related > Geniculate group, ventral thalamus > Intergeniculate leaflet of the lateral geniculate complex"
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/28.obj,28,28,ENTl6a,"Entorhinal area, lateral part, layer 6a",Basic cell groups and regions,918,bilateral,mesh_with_ontology,"ontology_path=root > Basic cell groups and regions > Cerebrum > Cerebral cortex > Cortical plate > Hippocampal formation > Retrohippocampal region > Entorhinal area > Entorhinal area, lateral part > Entorhinal area, lateral part, layer 6a"
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/30.obj,30,30,PVa,"Periventricular hypothalamic nucleus, anterior part",Basic cell groups and regions,157,bilateral,mesh_with_ontology,"ontology_path=root > Basic cell groups and regions > Brain stem > Interbrain > Hypothalamus > Periventricular zone > Periventricular hypothalamic nucleus, anterior part"
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/31.obj,31,31,ACA,Anterior cingulate area,Basic cell groups and regions,315,bilateral,mesh_with_ontology,ontology_path=root > Basic cell groups and regions > Cerebrum > Cerebral cortex > Cortical plate > Isocortex > Anterior cingulate area
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/33.obj,33,33,VISp6a,"Primary visual area, layer 6a",Basic cell groups and regions,385,bilateral,mesh_with_ontology,"ontology_path=root > Basic cell groups and regions > Cerebrum > Cerebral cortex > Cortical plate > Isocortex > Visual areas > Primary visual area > Primary visual area, layer 6a"
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/35.obj,35,35,III,Oculomotor nucleus,Basic cell groups and regions,323,bilateral,mesh_with_ontology,"ontology_path=root > Basic cell groups and regions > Brain stem > Midbrain > Midbrain, motor related > Oculomotor nucleus"
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/36.obj,36,36,GU1,"Gustatory areas, layer 1",Basic cell groups and regions,1057,bilateral,mesh_with_ontology,"ontology_path=root > Basic cell groups and regions > Cerebrum > Cerebral cortex > Cortical plate > Isocortex > Gustatory areas > Gustatory areas, layer 1"
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/38.obj,38,38,PVH,Paraventricular hypothalamic nucleus,Basic cell groups and regions,157,bilateral,mesh_with_ontology,ontology_path=root > Basic cell groups and regions > Brain stem > Interbrain > Hypothalamus > Periventricular zone > Paraventricular hypothalamic nucleus
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/39.obj,39,39,ACAd,"Anterior cingulate area, dorsal part",Basic cell groups and regions,31,bilateral,mesh_with_ontology,"ontology_path=root > Basic cell groups and regions > Cerebrum > Cerebral cortex > Cortical plate > Isocortex > Anterior cingulate area > Anterior cingulate area, dorsal part"
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/41.obj,41,41,VISpm2/3,"posteromedial visual area, layer 2/3",Basic cell groups and regions,533,bilateral,mesh_with_ontology,"ontology_path=root > Basic cell groups and regions > Cerebrum > Cerebral cortex > Cortical plate > Isocortex > Visual areas > posteromedial visual area > posteromedial visual area, layer 2/3"
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/42.obj,42,42,SCdw,"Superior colliculus, motor related, deep white layer",Basic cell groups and regions,294,bilateral,mesh_with_ontology,"ontology_path=root > Basic cell groups and regions > Brain stem > Midbrain > Midbrain, motor related > Superior colliculus, motor related > Superior colliculus, motor related, deep white layer"
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/44.obj,44,44,ILA,Infralimbic area,Basic cell groups and regions,315,bilateral,mesh_with_ontology,ontology_path=root > Basic cell groups and regions > Cerebrum > Cerebral cortex > Cortical plate > Isocortex > Infralimbic area
