species,source_asset,source_mesh_file,glb_mesh_name,structure_id,acronym,label,group,parent_id,hemisphere,catalog_status,notes
zebrafish,source/mapzebrain_manifest.json,regions/916_preoptic_area.stl,916_preoptic_area,916,preoptic area,preoptic area,"1.0 (modified Kunst et al., 2019)",973,,metadata_only,is_container=False; stl_path=/media/Regions/v1.0/preoptic_region/preoptic_region.stl
zebrafish,source/mapzebrain_manifest.json,regions/917_thalamus_proper.stl,917_thalamus_proper,917,thalamus proper,thalamus proper,"1.0 (modified Kunst et al., 2019)",925,,metadata_only,is_container=False; stl_path=/media/Regions/v1.0/dorsal_thalamus_proper/dorsal_thalamus_proper.stl
zebrafish,source/mapzebrain_manifest.json,regions/918_subpallium_ventral_telencephalon.stl,918_subpallium_ventral_telencephalon,918,subpallium (ventral telencephalon),subpallium (ventral telencephalon),"1.0 (modified Kunst et al., 2019)",1020,,metadata_only,is_container=False; stl_path=/media/Regions/v1.0/ventral_telencephalon_(subpallium)/ventral_telencephalon_(subpallium).stl
zebrafish,source/mapzebrain_manifest.json,regions/919_pituitary_hypophysis.stl,919_pituitary_hypophysis,919,pituitary (hypophysis),pituitary (hypophysis),"1.0 (modified Kunst et al., 2019)",973,,metadata_only,is_container=False; stl_path=/media/Regions/v1.0/pituitary/pituitary.stl
zebrafish,source/mapzebrain_manifest.json,regions/920_olfactory_epithelium.stl,920_olfactory_epithelium,920,olfactory epithelium,olfactory epithelium,"1.0 (modified Kunst et al., 2019)",976,,metadata_only,is_container=False; stl_path=/media/Regions/v1.0/olfactory_epithelium/olfactory_epithelium.stl
zebrafish,source/mapzebrain_manifest.json,regions/921_tegmentum_midbrain_tegmentum.stl,921_tegmentum_midbrain_tegmentum,921,tegmentum (midbrain tegmentum),tegmentum (midbrain tegmentum),"1.0 (modified Kunst et al., 2019)",1007,,metadata_only,is_container=False; stl_path=/media/Regions/v1.0/tegmentum/tegmentum.stl
zebrafish,source/mapzebrain_manifest.json,regions/922_inferior_dorsal_medulla_oblongata.stl,922_inferior_dorsal_medulla_oblongata,922,inferior dorsal medulla oblongata,inferior dorsal medulla oblongata,"1.0 (modified Kunst et al., 2019)",980,,metadata_only,is_container=False; stl_path=/media/Regions/v1.0/inferior_dorsal_medulla_oblongata/inferior_dorsal_medulla_oblongata.stl
zebrafish,source/mapzebrain_manifest.json,regions/923_retina.stl,923_retina,923,retina,retina,"1.0 (modified Kunst et al., 2019)",977,,metadata_only,is_container=False; stl_path=/media/Regions/v1.0/retina/retina.stl
zebrafish,source/mapzebrain_manifest.json,regions/924_inferior_olive.stl,924_inferior_olive,924,inferior olive,inferior olive,"1.0 (modified Kunst et al., 2019)",931,,metadata_only,is_container=False; stl_path=/media/Regions/v1.0/inferior_olive/inferior_olive.stl
zebrafish,source/mapzebrain_manifest.json,regions/925_thalamus_alar_prosomere_2_dorsal_thalamus.stl,925_thalamus_alar_prosomere_2_dorsal_thalamus,925,"thalamus (alar prosomere 2, dorsal thalamus)","thalamus (alar prosomere 2, dorsal thalamus)","1.0 (modified Kunst et al., 2019)",977,,metadata_only,is_container=False; stl_path=/media/Regions/v1.0/thalamus_(dorsal_thalamus)/thalamus_(dorsal_thalamus).stl
