2026-04-10 20:30:02,985 [INFO] Feedback mode: emergent
2026-04-10 20:30:02,985 [INFO] Device: cuda
2026-04-10 20:30:02,985 [INFO] Seed: 42
2026-04-10 20:30:02,987 [INFO] Network parameters: 7392
2026-04-10 20:30:02,988 [INFO] ============================================================
2026-04-10 20:30:02,988 [INFO] STAGE 1: Sensory Scaffold
2026-04-10 20:30:02,988 [INFO] ============================================================
2026-04-10 20:30:09,888 [INFO] Stage 1 step 200/2000: loss=3.5723, acc=0.000, l23_mean=0.0002
2026-04-10 20:30:15,975 [INFO] Stage 1 step 400/2000: loss=3.4623, acc=0.219, l23_mean=0.0040
2026-04-10 20:30:25,691 [INFO] Stage 1 step 600/2000: loss=2.9922, acc=0.594, l23_mean=0.0126
2026-04-10 20:30:31,876 [INFO] Stage 1 step 800/2000: loss=2.7649, acc=0.844, l23_mean=0.0154
2026-04-10 20:30:38,069 [INFO] Stage 1 step 1000/2000: loss=2.2959, acc=0.781, l23_mean=0.0233
2026-04-10 20:30:44,171 [INFO] Stage 1 step 1200/2000: loss=2.1520, acc=0.625, l23_mean=0.0255
2026-04-10 20:30:50,268 [INFO] Stage 1 step 1400/2000: loss=2.0257, acc=0.750, l23_mean=0.0270
2026-04-10 20:30:59,781 [INFO] Stage 1 step 1600/2000: loss=1.9976, acc=0.781, l23_mean=0.0274
2026-04-10 20:31:05,914 [INFO] Stage 1 step 1800/2000: loss=1.9411, acc=0.719, l23_mean=0.0274
2026-04-10 20:31:12,058 [INFO] Stage 1 step 2000/2000: loss=1.7493, acc=0.844, l23_mean=0.0323
2026-04-10 20:31:12,070 [INFO] Gating 1 - Decoder accuracy: 1.000 (need >= 0.90)
2026-04-10 20:31:12,078 [INFO] Gating 2 - Unimodal units: 36/36
2026-04-10 20:31:12,101 [INFO] Gating 3 - Unique preferred orientations: 36/36
2026-04-10 20:31:12,107 [INFO] Gating 4 - FWHM in range: 36/36
2026-04-10 20:31:12,107 [INFO] Gating 5 - Mean L2/3 rate: 0.0397
2026-04-10 20:31:12,127 [INFO] Gating 6 - FWHM high=25.0, low=25.0
2026-04-10 20:31:12,146 [INFO] Transferred trained decoder from Stage 1 to shared loss_fn
2026-04-10 20:31:12,146 [INFO] Stage 1 complete: loss=1.7493, acc=0.875
2026-04-10 20:31:12,146 [INFO] Gating checks: {'decoder_accuracy_90': True, 'unimodal_tuning': True, 'orientation_tiling': True, 'fwhm_range': True, 'mean_activity': True, 'contrast_invariant_width': True}
2026-04-10 20:31:12,153 [INFO] Stage 1 checkpoint saved to results/dual_1b/emergent_seed42/stage1_checkpoint.pt
2026-04-10 20:31:12,153 [INFO] ============================================================
2026-04-10 20:31:12,153 [INFO] STAGE 2: V2 + Feedback
2026-04-10 20:31:12,153 [INFO] ============================================================
2026-04-10 20:31:12,548 [INFO] Baselines (emergent): prior_kl uninformative=~3.6 (uniform prior), sensory uniform=0.028 (1/36)
/home/vysoforlife/.local/lib/python3.10/site-packages/torch/_inductor/compile_fx.py:321: UserWarning: TensorFloat32 tensor cores for float32 matrix multiplication available but not enabled. Consider setting `torch.set_float32_matmul_precision('high')` for better performance.
  warnings.warn(
W0410 20:31:13.525000 364313 torch/_inductor/utils.py:1679] [0/0] Not enough SMs to use max_autotune_gemm mode
2026-04-10 20:32:49,979 [INFO] Stage 2 step 100/5000: loss=3.6862, sens=2.0162, prior_kl=1.4755, fb_sparse=0.0000, energy=0.2915, homeo=0.0002, s_acc=0.387, p_acc=0.030, ang_err=47.6, grad_norm=0.114, pi_ceil=0.000, fb_scale=0.000
2026-04-10 20:33:52,205 [INFO] Stage 2 step 200/5000: loss=4.5908, sens=3.0492, prior_kl=1.4558, fb_sparse=0.0000, energy=0.2774, homeo=0.0002, s_acc=0.395, p_acc=0.040, ang_err=40.8, grad_norm=0.130, pi_ceil=0.000, fb_scale=0.000
2026-04-10 20:34:57,876 [INFO] Stage 2 step 300/5000: loss=4.1219, sens=2.6071, prior_kl=1.4472, fb_sparse=0.0000, energy=0.2827, homeo=0.0002, s_acc=0.376, p_acc=0.055, ang_err=37.9, grad_norm=0.125, pi_ceil=0.000, fb_scale=0.000
2026-04-10 20:36:04,758 [INFO] Stage 2 step 400/5000: loss=3.2259, sens=1.7980, prior_kl=1.3262, fb_sparse=0.0000, energy=0.2912, homeo=0.0002, s_acc=0.359, p_acc=0.076, ang_err=26.1, grad_norm=0.178, pi_ceil=0.000, fb_scale=0.000
2026-04-10 20:37:10,658 [INFO] Stage 2 step 500/5000: loss=3.6624, sens=2.6095, prior_kl=1.1921, fb_sparse=0.0000, energy=0.2802, homeo=0.0002, s_acc=0.330, p_acc=0.103, ang_err=19.8, grad_norm=0.175, pi_ceil=0.000, fb_scale=0.000
2026-04-10 20:38:33,316 [INFO] Stage 2 step 600/5000: loss=3.1349, sens=2.1919, prior_kl=1.0724, fb_sparse=0.0000, energy=0.2893, homeo=0.0002, s_acc=0.322, p_acc=0.151, ang_err=18.5, grad_norm=0.141, pi_ceil=0.000, fb_scale=0.000
2026-04-10 20:39:42,263 [INFO] Stage 2 step 700/5000: loss=2.8902, sens=2.0435, prior_kl=1.0073, fb_sparse=0.0000, energy=0.2871, homeo=0.0002, s_acc=0.325, p_acc=0.145, ang_err=17.9, grad_norm=0.179, pi_ceil=0.000, fb_scale=0.000
2026-04-10 20:40:48,159 [INFO] Stage 2 step 800/5000: loss=2.8801, sens=2.2075, prior_kl=0.9365, fb_sparse=0.0000, energy=0.2850, homeo=0.0002, s_acc=0.357, p_acc=0.128, ang_err=16.3, grad_norm=0.216, pi_ceil=0.000, fb_scale=0.000
2026-04-10 20:41:54,566 [INFO] Stage 2 step 900/5000: loss=3.2317, sens=2.9034, prior_kl=0.8883, fb_sparse=0.0000, energy=0.2807, homeo=0.0001, s_acc=0.355, p_acc=0.158, ang_err=14.9, grad_norm=0.149, pi_ceil=0.000, fb_scale=0.000
2026-04-10 20:43:00,495 [INFO] Stage 2 step 1000/5000: loss=2.7017, sens=2.0790, prior_kl=0.9313, fb_sparse=0.0000, energy=0.2876, homeo=0.0002, s_acc=0.369, p_acc=0.145, ang_err=15.9, grad_norm=0.201, pi_ceil=0.000, fb_scale=0.000
2026-04-10 20:43:00,503 [INFO] Step 1000: unfreezing gain_rec_raw
2026-04-10 20:44:15,206 [INFO] Stage 2 step 1100/5000: loss=2.7777, sens=2.2740, prior_kl=0.8965, fb_sparse=0.0000, energy=0.3195, homeo=0.0000, s_acc=0.332, p_acc=0.139, ang_err=15.1, grad_norm=0.164, pi_ceil=0.000, fb_scale=0.099
2026-04-10 20:45:27,775 [INFO] Stage 2 step 1200/5000: loss=2.4323, sens=1.6838, prior_kl=0.8763, fb_sparse=0.0000, energy=0.3448, homeo=0.0000, s_acc=0.315, p_acc=0.147, ang_err=14.2, grad_norm=0.309, pi_ceil=0.000, fb_scale=0.199
