lam    ce   ratio  net_fb_gain regime   exp_r   unexp_r  floor  exp-floor  held%  gains[g_v,g_s,g_sv,g_e,g_ps]
0.00   0.5  0.000     +0.517  SHARPEN   7.788   1.339  1.254   +6.534   81.8  [0.79, 0.61, 0.79, 0.52, 0.63]
0.02   0.5  0.040     +0.152  SHARPEN   2.654   1.313  1.238   +1.415   82.1  [0.58, 0.83, 0.58, 0.58, 0.85]
0.05   0.5  0.100     -0.245  DAMPEN    0.098   1.146  1.258   -1.160   82.0  [0.49, 0.97, 0.49, 0.49, 0.99]
0.10   0.5  0.200     -0.541  DAMPEN    0.000   1.050  1.247   -1.247   81.9  [0.44, 1.08, 0.44, 0.44, 1.12]
0.20   0.5  0.400     -0.860  DAMPEN    0.000   0.884  1.264   -1.264   81.9  [0.41, 1.19, 0.41, 0.42, 1.26]
0.00   1.0  0.000     +0.495  SHARPEN   7.283   1.337  1.241   +6.042   81.8  [0.79, 0.61, 0.79, 0.49, 0.63]
0.02   1.0  0.020     +0.299  SHARPEN   4.456   1.301  1.211   +3.245   82.0  [0.62, 0.78, 0.62, 0.62, 0.8]
0.05   1.0  0.050     +0.077  SHARPEN   1.890   1.274  1.242   +0.648   82.1  [0.56, 0.86, 0.56, 0.56, 0.88]
0.10   1.0  0.100     -0.219  DAMPEN    0.185   1.186  1.231   -1.046   81.9  [0.49, 0.96, 0.49, 0.49, 0.98]
0.20   1.0  0.200     -0.575  DAMPEN    0.000   1.090  1.239   -1.239   82.1  [0.44, 1.09, 0.44, 0.44, 1.13]
0.00   2.0  0.000     +0.512  SHARPEN   7.464   1.340  1.215   +6.249   81.7  [0.79, 0.61, 0.79, 0.51, 0.63]
0.02   2.0  0.010     +0.416  SHARPEN   6.019   1.259  1.237   +4.782   82.0  [0.78, 0.61, 0.78, 0.42, 0.63]
0.05   2.0  0.025     +0.276  SHARPEN   4.095   1.317  1.223   +2.872   81.9  [0.61, 0.79, 0.61, 0.61, 0.8]
0.10   2.0  0.050     +0.096  SHARPEN   2.054   1.305  1.240   +0.815   82.1  [0.56, 0.85, 0.56, 0.56, 0.87]
0.20   2.0  0.100     -0.249  DAMPEN    0.092   1.177  1.239   -1.148   82.2  [0.48, 0.97, 0.48, 0.48, 0.99]
GRID_DONE
